date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:22	91236/91236	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f414c3d24a155db89f6b373a80bc7668%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.90d0afc1.bundle.min.js	C:/Montreso/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.90d0afc1.bundle.min.js	(from https://www.bellecottage.co.za/)
20:07:23	204815/204815	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b05d5ca6e41b5b26b46f11e00faa32a1%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.63955c57.bundle.min.js	C:/Montreso/static.parastorage.com/services/wix-thunderbolt/dist/main.63955c57.bundle.min.js	(from https://www.bellecottage.co.za/)
20:07:23	166/166	---M--	200	added ('OK')	application/javascript	etag:%227276034de396f62e15b7cc118d61c360%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	C:/Montreso/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	(from https://www.bellecottage.co.za/)
20:07:24	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Montreso/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.bellecottage.co.za/)
20:07:25	10751/10751	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e91b2616629791b375867c298dc846cc%22	https://static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	C:/Montreso/static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	(from https://www.bellecottage.co.za/)
20:07:26	131835/131835	---M-Z	200	added ('OK')	application/javascript	etag:W/%227d4842a904e5d5d1b19240075998b111%22	https://static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	C:/Montreso/static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	(from https://www.bellecottage.co.za/)
20:07:26	2958/2958	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202024%2019:07:29%20GMT	https://www.bellecottage.co.za/decodeURIComponent(e	C:/Montreso/www.bellecottage.co.za/decodeURIComponent(e.16.delayed	(from https://www.bellecottage.co.za/)
20:07:27	9691/9691	---M-Z	200	added ('OK')	application/javascript	etag:W/%227163b2f1c5793d25bde396133051edf8%22	https://static.parastorage.com/services/tag-manager-client/1.844.0/siteTags.bundle.min.js	C:/Montreso/static.parastorage.com/services/tag-manager-client/1.844.0/siteTags.bundle.min.js	(from https://www.bellecottage.co.za/)
20:07:28	30907/30907	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e646fa090a760653cfa56c727bb5a13%22	https://static.parastorage.com/services/wix-perf-measure/1.1095.0/wix-perf-measure.umd.min.js	C:/Montreso/static.parastorage.com/services/wix-perf-measure/1.1095.0/wix-perf-measure.umd.min.js	(from https://www.bellecottage.co.za/)
20:07:29	11641/11641	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2019:07:32%20GMT	https://static.wixstatic.com/media/e2b70e_304db4f93eda425082b97ebe4a8dd07a.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/e2b70e_304db4f93eda425082b97ebe4a8dd07a.jpg	C:/Montreso/static.wixstatic.com/media/e2b70e_304db4f93eda425082b97ebe4a8dd07a.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/e2b70e_304db4f93eda425082b97ebe4a8dd07a.jpg	(from https://www.bellecottage.co.za/rooms-rates)
20:07:30	204678/204678	---M-Z	200	added ('OK')	application/javascript	etag:W/%229a4cf8bc20c4cfbf4867c965767edf35%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.456d8521.bundle.min.js	C:/Montreso/static.parastorage.com/services/wix-thunderbolt/dist/main.456d8521.bundle.min.js	(from https://www.bellecottage.co.za/rooms-rates)
20:07:31	10694/10694	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2019:07:34%20GMT	https://static.wixstatic.com/media/e2b70e_22ac0482909944b49bf7fa7af7113a71.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/e2b70e_22ac0482909944b49bf7fa7af7113a71.jpg	C:/Montreso/static.wixstatic.com/media/e2b70e_22ac0482909944b49bf7fa7af7113a71.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/e2b70e_22ac0482909944b49bf7fa7af7113a71.jpg	(from https://www.bellecottage.co.za/about-us)
20:07:32	40949/40949	---M--	200	added ('OK')	image/png	etag:%22d6793e194624ea8a9de511b9e7c63bf0%22	https://static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/sloppyframe.d2412ec4.png	C:/Montreso/static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/sloppyframe.d2412ec4.png	(from https://www.bellecottage.co.za/location)
20:07:33	11648/11648	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2019:07:36%20GMT	https://static.wixstatic.com/media/e2b70e_dae7a0c4eedc412d868a24b7453f6c3f.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/e2b70e_dae7a0c4eedc412d868a24b7453f6c3f.jpg	C:/Montreso/static.wixstatic.com/media/e2b70e_dae7a0c4eedc412d868a24b7453f6c3f.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/e2b70e_dae7a0c4eedc412d868a24b7453f6c3f.jpg	(from https://www.bellecottage.co.za/location)
20:07:34	3662/3662	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2019:07:37%20GMT	https://static.wixstatic.com/media/e2b70e_74595f94a0c64e48b6e9416cef825fa6.png/v1/fill/w_43,h_43,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/e2b70e_74595f94a0c64e48b6e9416cef825fa6.png	C:/Montreso/static.wixstatic.com/media/e2b70e_74595f94a0c64e48b6e9416cef825fa6.png/v1/fill/w_43,h_43,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/e2b70e_74595f94a0c64e48b6e9416cef825fa6.png	(from https://www.bellecottage.co.za/location)
20:07:36	11207/11207	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2019:07:38%20GMT	https://static.wixstatic.com/media/e2b70e_5ba28aca1420452db0ad39176e515c1b.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/e2b70e_5ba28aca1420452db0ad39176e515c1b.jpg	C:/Montreso/static.wixstatic.com/media/e2b70e_5ba28aca1420452db0ad39176e515c1b.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/e2b70e_5ba28aca1420452db0ad39176e515c1b.jpg	(from https://www.bellecottage.co.za/contact-us)
20:07:36	5351/5351	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2019:07:39%20GMT	https://static.wixstatic.com/media/9e3f5b8b0949efaff05a67bf63b10a7b.png/v1/fill/w_63,h_63,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/9e3f5b8b0949efaff05a67bf63b10a7b.png	C:/Montreso/static.wixstatic.com/media/9e3f5b8b0949efaff05a67bf63b10a7b.png/v1/fill/w_63,h_63,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/9e3f5b8b0949efaff05a67bf63b10a7b.png	(from https://www.bellecottage.co.za/contact-us)
20:07:37	5795/5795	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2019:07:40%20GMT	https://static.wixstatic.com/media/3ba9f6a28696f0d31da0e5d7ad956c51.png/v1/fill/w_63,h_63,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/3ba9f6a28696f0d31da0e5d7ad956c51.png	C:/Montreso/static.wixstatic.com/media/3ba9f6a28696f0d31da0e5d7ad956c51.png/v1/fill/w_63,h_63,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/3ba9f6a28696f0d31da0e5d7ad956c51.png	(from https://www.bellecottage.co.za/contact-us)
20:07:38	5624/5624	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2019:07:41%20GMT	https://static.wixstatic.com/media/481e93c3c01f590373811bc646473608.png/v1/fill/w_63,h_63,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/481e93c3c01f590373811bc646473608.png	C:/Montreso/static.wixstatic.com/media/481e93c3c01f590373811bc646473608.png/v1/fill/w_63,h_63,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/481e93c3c01f590373811bc646473608.png	(from https://www.bellecottage.co.za/contact-us)
